DATE,ICSA
1997-02-01,1283000
1997-03-01,1597000
1997-04-01,1308000
1997-05-01,1619000
1997-06-01,1302000
1997-07-01,1281000
1997-08-01,1651000
1997-09-01,1261000
1997-10-01,1240000
1997-11-01,1573000
1997-12-01,1253000
1998-01-01,1606000
1998-02-01,1276000
1998-03-01,1260000
1998-04-01,1244000
1998-05-01,1556000
1998-06-01,1352000
1998-07-01,1332000
1998-08-01,1563000
1998-09-01,1216000
1998-10-01,1553000
1998-11-01,1264000
1998-12-01,1264000
1999-01-01,1631000
1999-02-01,1206000
1999-03-01,1211000
1999-04-01,1234000
1999-05-01,1508000
1999-06-01,1176000
1999-07-01,1490000
1999-08-01,1163000
1999-09-01,1158000
1999-10-01,1452000
1999-11-01,1127000
1999-12-01,1114000
2000-01-01,1442000
2000-02-01,1175000
2000-03-01,1099000
2000-04-01,1358000
2000-05-01,1129000
2000-06-01,1164000
2000-07-01,1475000
2000-08-01,1251000
2000-09-01,1501000
2000-10-01,1204000
2000-11-01,1337000
2000-12-01,1730000
2001-01-01,1360000
2001-02-01,1485000
2001-03-01,1936000
2001-04-01,1587000
2001-05-01,1578000
2001-06-01,1986000
2001-07-01,1592000
2001-08-01,1592000
2001-09-01,2175000
2001-10-01,1923000
2001-11-01,1790000
2001-12-01,2084000
2002-01-01,1634000
2002-02-01,1596000
2002-03-01,2077000
2002-04-01,1717000
2002-05-01,1636000
2002-06-01,1936000
2002-07-01,1544000
2002-08-01,1968000
2002-09-01,1638000
2002-10-01,1630000
2002-11-01,1961000
2002-12-01,1657000
2003-01-01,1580000
2003-02-01,1644000
2003-03-01,2137000
2003-04-01,1745000
2003-05-01,2120000
2003-06-01,1687000
2003-07-01,1646000
2003-08-01,2001000
2003-09-01,1582000
2003-10-01,1528000
2003-11-01,1815000
2003-12-01,1433000
2004-01-01,1801000
2004-02-01,1443000
2004-03-01,1368000
2004-04-01,1393000
2004-05-01,1681000
2004-06-01,1396000
2004-07-01,1715000
2004-08-01,1363000
2004-09-01,1349000
2004-10-01,1670000
2004-11-01,1315000
2004-12-01,1301000
2005-01-01,1717000
2005-02-01,1247000
2005-03-01,1328000
2005-04-01,1616000
2005-05-01,1308000
2005-06-01,1303000
2005-07-01,1622000
2005-08-01,1263000
2005-09-01,1531000
2005-10-01,1761000
2005-11-01,1269000
2005-12-01,1582000
2006-01-01,1183000
2006-02-01,1163000
2006-03-01,1207000
2006-04-01,1518000
2006-05-01,1331000
2006-06-01,1222000
2006-07-01,1594000
2006-08-01,1257000
2006-09-01,1581000
2006-10-01,1262000
2006-11-01,1305000
2006-12-01,1620000
2007-01-01,1269000
2007-02-01,1291000
2007-03-01,1547000
2007-04-01,1281000
2007-05-01,1217000
2007-06-01,1576000
2007-07-01,1253000
2007-08-01,1280000
2007-09-01,1567000
2007-10-01,1313000
2007-11-01,1344000
2007-12-01,1741000
2008-01-01,1355000
2008-02-01,1387000
2008-03-01,1817000
2008-04-01,1438000
2008-05-01,1834000
2008-06-01,1533000
2008-07-01,1592000
2008-08-01,2165000
2008-09-01,1856000
2008-10-01,1901000
2008-11-01,2599000
2008-12-01,2256000
2009-01-01,2860000
2009-02-01,2576000
2009-03-01,2637000
2009-04-01,2511000
2009-05-01,3060000
2009-06-01,2393000
2009-07-01,2266000
2009-08-01,2796000
2009-09-01,2190000
2009-10-01,2627000
2009-11-01,1976000
2009-12-01,1942000
2010-01-01,2399000
2010-02-01,1943000
2010-03-01,1881000
2010-04-01,1876000
2010-05-01,2297000
2010-06-01,1842000
2010-07-01,2296000
2010-08-01,1900000
2010-09-01,1814000
2010-10-01,2234000
2010-11-01,1705000
2010-12-01,1681000
2011-01-01,2134000
2011-02-01,1606000
2011-03-01,1624000
2011-04-01,2103000
2011-05-01,1690000
2011-06-01,1673000
2011-07-01,2063000
2011-08-01,1638000
2011-09-01,1671000
2011-10-01,2012000
2011-11-01,1557000
2011-12-01,1885000
2012-01-01,1511000
2012-02-01,1453000
2012-03-01,1833000
2012-04-01,1527000
2012-05-01,1494000
2012-06-01,1896000
2012-07-01,1490000
2012-08-01,1493000
2012-09-01,1909000
2012-10-01,1474000
2012-11-01,1605000
2012-12-01,1795000
2013-01-01,1412000
2013-02-01,1412000
2013-03-01,1759000
2013-04-01,1389000
2013-05-01,1391000
2013-06-01,1723000
2013-07-01,1384000
2013-08-01,1667000
2013-09-01,1256000
2013-10-01,1434000
2013-11-01,1641000
2013-12-01,1384000
2014-01-01,1307000
2014-02-01,1341000
2014-03-01,1605000
2014-04-01,1291000
2014-05-01,1569000
2014-06-01,1254000
2014-07-01,1207000
2014-08-01,1510000
2014-09-01,1180000
2014-10-01,1155000
2014-11-01,1458000
2014-12-01,1138000
2015-01-01,1438000
2015-02-01,1205000
2015-03-01,1136000
2015-04-01,1144000
2015-05-01,1370000
2015-06-01,1095000
2015-07-01,1111000
2015-08-01,1376000
2015-09-01,1078000
2015-10-01,1335000
2015-11-01,1074000
2015-12-01,1084000
2016-01-01,1397000
2016-02-01,1069000
2016-03-01,1057000
2016-04-01,1326000
2016-05-01,1101000
2016-06-01,1061000
2016-07-01,1303000
2016-08-01,1058000
2016-09-01,1009000
2016-10-01,1283000
2016-11-01,991000
2016-12-01,1255000
2017-01-01,987000
2017-02-01,957000
2017-03-01,1001000
2017-04-01,1209000
2017-05-01,959000
2017-06-01,962000
2017-07-01,1224000
2017-08-01,962000
2017-09-01,1351000
2017-10-01,949000
2017-11-01,961000
2017-12-01,1188000
2018-01-01,938000
2018-02-01,880000
2018-03-01,1130000
2018-04-01,888000
2018-05-01,885000
2018-06-01,1107000
2018-07-01,865000
2018-08-01,861000
2018-09-01,1063000
2018-10-01,862000
2018-11-01,889000
2018-12-01,1098000
2019-01-01,881000
2019-02-01,900000
2019-03-01,1089000
2019-04-01,862000
2019-05-01,873000
2019-06-01,1105000
2019-07-01,855000
2019-08-01,1081000
2019-09-01,852000
2019-10-01,860000
2019-11-01,1074000
2019-12-01,904000
2020-01-01,851000
2020-02-01,1057000
2020-03-01,10667000
2020-04-01,20161000
2020-05-01,12329000
2020-06-01,5996000
2020-07-01,5475000
2020-08-01,5161000
2020-09-01,3481000
2020-10-01,3921000
2020-11-01,2237000
